coverage,cumulative
0,3043419470
1,2758945670
2,2370476986
3,1862955491
4,1347571641
5,906208573
6,572898497
7,344234387
8,198780731
9,111644525
10,61881256
11,34475559
12,19705622
13,11820878
14,7583467
15,5250470
16,3911518
17,3092777
18,2554040
19,2179005
20,1903022
21,1691700
22,1523176
23,1386054
24,1271027
25,1172929
26,1088525
27,1016816
28,955970
29,903062
30,856423
31,815808
32,780063
33,748339
34,719669
35,693485
36,669245
37,646471
38,625596
39,606685
40,589309
41,573242
42,558028
43,544220
44,531462
45,519302
46,507846
47,496850
48,486750
49,477241
50,468165
51,459419
52,450998
53,442555
54,434389
55,426494
56,419137
57,412067
58,405516
59,399221
60,392925
61,387006
62,381278
63,375843
64,370735
65,365750
66,361262
67,356996
68,352844
69,348855
70,344982
71,341030
72,337128
73,333251
74,329414
75,325599
76,322096
77,318777
78,315534
79,312397
80,309177
81,306047
82,303064
83,300194
84,297399
85,294533
86,291719
87,288996
88,286391
89,283859
90,281288
91,278877
92,276487
93,274299
94,272050
95,270075
96,268115
97,266121
98,264297
99,262470
100,260652
101,258839
102,257131
103,255391
104,253622
105,251926
106,250302
107,248637
108,247040
109,245483
110,243912
111,242403
112,240968
113,239516
114,238139
115,236671
116,235303
117,233978
118,232598
119,231443
120,230189
121,229006
122,227863
123,226750
124,225530
125,224332
126,223170
127,222071
128,220959
129,219869
130,218792
131,217605
132,216567
133,215533
134,214546
135,213523
136,212605
137,211614
138,210699
139,209724
140,208794
141,207870
142,206964
143,206098
144,205268
145,204483
146,203741
147,202990
148,202244
149,201480
150,200755
151,200035
152,199355
153,198638
154,197955
155,197276
156,196627
157,195961
158,195301
159,194662
160,193947
161,193262
162,192610
163,191969
164,191273
165,190627
166,190048
167,189474
168,188893
169,188357
170,187836
171,187260
172,186789
173,186267
174,185756
175,185227
176,184694
177,184153
178,183674
179,183151
180,182622
181,182089
182,181598
183,181060
184,180576
185,180098
186,179548
187,178965
188,178407
189,177883
190,177387
191,176889
192,176395
193,175932
194,175492
195,174994
196,174526
197,174051
198,173572
199,173074
200,172554
201,172057
202,171525
203,171009
204,170495
205,170002
206,169537
207,169101
208,168661
209,168246
210,167813
211,167389
212,166971
213,166554
214,166096
215,165672
216,165218
217,164787
218,164357
219,163916
220,163507
221,163088
222,162655
223,162232
224,161849
225,161445
226,161040
227,160708
228,160327
229,160000
230,159636
231,159267
232,158910
233,158522
234,158128
235,157779
236,157403
237,157075
238,156713
239,156371
240,156038
241,155705
242,155325
243,154972
244,154619
245,154261
246,153898
247,153559
248,153194
249,152835
250,152497
