count,coverage
257541819,0
313704184,1
428162637,2
467910482,3
437565266,4
363769588,5
274718187,6
191922680,7
125707219,8
77848752,9
45940596,10
26087087,11
14357459,12
7707229,13
4096693,14
2169407,15
1175247,16
668876,17
409439,18
273807,19
197765,20
154561,21
125588,22
103529,23
87747,24
76669,25
66435,26
58097,27
50255,28
43960,29
38621,30
34065,31
30047,32
27114,33
24183,34
21721,35
19530,36
18018,37
16114,38
14591,39
13249,40
12481,41
11441,42
10656,43
9962,44
9262,45
8767,46
8277,47
8177,48
7551,49
7147,50
6900,51
6463,52
6239,53
5947,54
5804,55
5610,56
5557,57
5338,58
5111,59
4874,60
4695,61
4482,62
4311,63
4363,64
3947,65
3928,66
3864,67
3678,68
3496,69
3279,70
3296,71
3324,72
3125,73
3227,74
3030,75
2834,76
2729,77
2759,78
2671,79
2567,80
2510,81
2513,82
2408,83
2357,84
2323,85
2284,86
2189,87
2081,88
2150,89
2163,90
1990,91
1903,92
1918,93
1913,94
1918,95
1928,96
1912,97
1836,98
1887,99
1789,100
1897,101
1826,102
1787,103
1651,104
1608,105
1546,106
1512,107
1524,108
1393,109
1387,110
1450,111
1453,112
1377,113
1321,114
1379,115
1278,116
1270,117
1294,118
1270,119
1191,120
1153,121
1185,122
1150,123
1143,124
1119,125
1065,126
1049,127
961,128
1059,129
1023,130
1073,131
1047,132
1002,133
1017,134
1063,135
972,136
942,137
900,138
878,139
892,140
952,141
942,142
888,143
858,144
855,145
823,146
825,147
832,148
812,149
784,150
771,151
796,152
774,153
765,154
684,155
737,156
762,157
688,158
704,159
703,160
706,161
652,162
682,163
669,164
637,165
691,166
643,167
674,168
636,169
622,170
676,171
586,172
624,173
592,174
559,175
587,176
608,177
586,178
558,179
537,180
548,181
531,182
506,183
492,184
479,185
452,186
494,187
459,188
463,189
463,190
496,191
483,192
507,193
462,194
451,195
462,196
456,197
436,198
441,199
408,200
449,201
431,202
467,203
424,204
435,205
419,206
430,207
428,208
393,209
401,210
443,211
420,212
355,213
396,214
370,215
362,216
338,217
352,218
371,219
359,220
344,221
351,222
337,223
346,224
367,225
336,226
348,227
393,228
329,229
345,230
341,231
366,232
315,233
309,234
336,235
320,236
310,237
325,238
312,239
282,240
319,241
300,242
321,243
332,244
311,245
268,246
318,247
312,248
279,249
92225,250
