Forward_count,insert_size
449,2
421,3
484,4
481,5
432,6
494,7
508,8
497,9
551,10
541,11
528,12
553,13
533,14
560,15
593,16
666,17
736,18
3332,19
2454,20
2232,21
1677,22
1878,23
2399,24
3696,25
5022,26
6247,27
7550,28
9042,29
10831,30
13291,31
14645,32
13203,33
10281,34
6558,35
4093,36
2628,37
1995,38
1697,39
1433,40
1403,41
1288,42
1278,43
1258,44
1204,45
1225,46
1241,47
1210,48
1277,49
1221,50
1417,51
1441,52
1455,53
1601,54
1575,55
1508,56
1392,57
1567,58
1552,59
1577,60
1519,61
1589,62
1706,63
1739,64
1637,65
1705,66
1647,67
1799,68
1977,69
1815,70
1850,71
1818,72
1984,73
2050,74
1903,75
2017,76
1904,77
2082,78
2050,79
2069,80
2158,81
2225,82
2271,83
2390,84
2398,85
2414,86
2363,87
2444,88
2530,89
2578,90
2547,91
2613,92
2652,93
2668,94
2666,95
2785,96
2729,97
2800,98
2845,99
2951,100
2974,101
2985,102
3108,103
3230,104
3224,105
3286,106
3382,107
3526,108
3456,109
3590,110
3564,111
3726,112
3786,113
4017,114
4076,115
4159,116
4061,117
4228,118
4438,119
4411,120
4467,121
4568,122
4733,123
4654,124
4823,125
5019,126
5052,127
5161,128
5292,129
5434,130
5469,131
5571,132
5704,133
5921,134
6211,135
6160,136
6403,137
6527,138
6759,139
6848,140
6988,141
7089,142
7258,143
7558,144
7751,145
7710,146
7941,147
8327,148
8530,149
8740,150
8939,151
9308,152
9587,153
9746,154
10002,155
10416,156
10434,157
10662,158
11158,159
11282,160
11594,161
11814,162
12407,163
12729,164
12764,165
13306,166
13673,167
14081,168
14232,169
14612,170
15080,171
15869,172
16083,173
16551,174
17095,175
17613,176
18139,177
18592,178
18964,179
19116,180
19918,181
20754,182
21172,183
21838,184
22351,185
22735,186
23702,187
24149,188
25089,189
25510,190
26681,191
27203,192
28281,193
28801,194
29776,195
30717,196
31849,197
32571,198
33653,199
34687,200
35153,201
36435,202
37963,203
38526,204
39976,205
40944,206
42016,207
43123,208
44555,209
45588,210
46816,211
47919,212
49474,213
50744,214
52149,215
54305,216
54899,217
57435,218
58243,219
59639,220
61466,221
63174,222
64143,223
66131,224
67871,225
69916,226
71097,227
73887,228
75090,229
77451,230
79417,231
80360,232
82725,233
85185,234
86831,235
88914,236
90716,237
92796,238
94629,239
96960,240
99209,241
101863,242
104474,243
105731,244
108972,245
111042,246
112993,247
115621,248
117674,249
119698,250
121937,251
125122,252
127288,253
130865,254
132676,255
134231,256
136429,257
139301,258
141850,259
145120,260
146696,261
148872,262
151015,263
154050,264
155893,265
157461,266
160283,267
162841,268
164961,269
166801,270
169681,271
170691,272
173329,273
175820,274
176833,275
179771,276
181376,277
182924,278
185883,279
188080,280
189453,281
191023,282
192849,283
194939,284
196436,285
197368,286
199411,287
201033,288
203627,289
203944,290
205504,291
206901,292
207654,293
209605,294
210334,295
212029,296
212221,297
213334,298
215576,299
217942,300
216492,301
218464,302
219887,303
219362,304
219703,305
221425,306
221593,307
222990,308
222903,309
224469,310
222966,311
224306,312
225031,313
226056,314
225297,315
225676,316
226187,317
226631,318
226409,319
226107,320
227636,321
225451,322
226157,323
226480,324
226212,325
225394,326
225657,327
225393,328
224826,329
224975,330
224596,331
223140,332
221692,333
223283,334
223566,335
222454,336
221635,337
220904,338
221264,339
220242,340
219475,341
218511,342
217770,343
216905,344
216987,345
216096,346
215594,347
213285,348
213048,349
211455,350
210206,351
211349,352
209084,353
208949,354
207057,355
205573,356
203963,357
203027,358
202740,359
201714,360
201495,361
200399,362
199241,363
197424,364
195895,365
194339,366
193846,367
192574,368
191015,369
190270,370
188474,371
187819,372
186357,373
185637,374
184771,375
182783,376
181972,377
179279,378
178014,379
177995,380
176028,381
175025,382
173331,383
171900,384
170237,385
169023,386
167427,387
166669,388
165051,389
162494,390
162347,391
159782,392
158138,393
158179,394
155665,395
154483,396
154169,397
152781,398
150667,399
149806,400
148676,401
146284,402
143951,403
143589,404
141333,405
140296,406
138426,407
137666,408
136290,409
134215,410
132277,411
131697,412
130619,413
128808,414
126989,415
126730,416
124745,417
123089,418
122568,419
119689,420
119743,421
117748,422
115731,423
114784,424
113372,425
112751,426
110848,427
109898,428
108160,429
106436,430
105865,431
104621,432
102713,433
102061,434
99336,435
97287,436
96497,437
94965,438
94088,439
92918,440
91593,441
90548,442
89620,443
87934,444
87005,445
85953,446
84668,447
83579,448
81458,449
80055,450
79673,451
78898,452
76984,453
76442,454
75418,455
73618,456
73062,457
71559,458
70721,459
69504,460
68182,461
67523,462
66261,463
65039,464
64454,465
62561,466
61135,467
60928,468
59731,469
59075,470
58078,471
57051,472
56260,473
55255,474
54683,475
53149,476
52844,477
51229,478
50755,479
49811,480
48948,481
48188,482
46993,483
46712,484
46049,485
45188,486
44408,487
43465,488
42408,489
41828,490
41249,491
39793,492
38842,493
38852,494
37938,495
37227,496
36436,497
35922,498
35283,499
34856,500
33649,501
33199,502
32687,503
32093,504
31627,505
30812,506
30245,507
29216,508
29320,509
28456,510
27652,511
27380,512
26713,513
26039,514
25728,515
25337,516
24565,517
24167,518
23766,519
23668,520
23002,521
22623,522
22140,523
21473,524
21122,525
20414,526
20204,527
19623,528
19541,529
18997,530
18784,531
18007,532
17891,533
17713,534
17212,535
16894,536
16275,537
15903,538
15737,539
15537,540
15117,541
15017,542
14416,543
14433,544
13863,545
13674,546
13231,547
13216,548
12804,549
12567,550
12066,551
12195,552
11803,553
11531,554
11676,555
10916,556
10757,557
10881,558
10475,559
9968,560
9856,561
9746,562
9529,563
9442,564
9255,565
9125,566
8819,567
8773,568
8480,569
8368,570
8073,571
7983,572
7645,573
7620,574
7347,575
7197,576
6953,577
7170,578
6923,579
6624,580
6571,581
6298,582
6542,583
6105,584
5796,585
5953,586
5726,587
5687,588
5630,589
5460,590
5180,591
5049,592
5233,593
5097,594
4805,595
4934,596
4700,597
4639,598
4618,599
4462,600
4236,601
4263,602
4292,603
3989,604
4051,605
3853,606
3739,607
3693,608
3696,609
3466,610
3514,611
3318,612
3305,613
3365,614
3309,615
3195,616
2889,617
3068,618
3002,619
3027,620
2766,621
2756,622
2794,623
2706,624
2579,625
2648,626
2475,627
2586,628
2395,629
2466,630
2166,631
2342,632
2342,633
2250,634
2195,635
2123,636
2091,637
2035,638
2045,639
2031,640
2108,641
1884,642
1883,643
1791,644
1884,645
1818,646
1805,647
1734,648
1757,649
1693,650
1587,651
1601,652
1610,653
1599,654
1549,655
1531,656
1471,657
1375,658
1475,659
1421,660
1442,661
1341,662
1378,663
1137,664
1200,665
1167,666
1195,667
1182,668
1198,669
1132,670
1145,671
1127,672
1113,673
1091,674
1002,675
1096,676
1052,677
1028,678
1037,679
1020,680
965,681
946,682
950,683
937,684
913,685
902,686
942,687
861,688
832,689
828,690
825,691
791,692
802,693
784,694
729,695
741,696
757,697
735,698
730,699
699,700
652,701
733,702
686,703
623,704
689,705
736,706
715,707
694,708
711,709
684,710
662,711
640,712
538,713
505,714
574,715
593,716
436,717
418,718
404,719
434,720
429,721
407,722
424,723
393,724
401,725
384,726
386,727
381,728
351,729
410,730
301,731
345,732
339,733
333,734
346,735
329,736
329,737
346,738
295,739
268,740
316,741
340,742
265,743
278,744
281,745
297,746
261,747
270,748
240,749
297,750
257,751
268,752
243,753
267,754
252,755
253,756
196,757
266,758
248,759
236,760
251,761
219,762
241,763
198,764
193,765
243,766
198,767
209,768
232,769
204,770
206,771
195,772
200,773
205,774
204,775
206,776
184,777
188,778
176,779
183,780
151,781
200,782
150,783
189,784
205,785
176,786
159,787
178,788
154,789
165,790
144,791
108,792
148,793
144,794
158,795
130,796
149,797
130,798
130,799
134,800
120,801
135,802
129,803
132,804
108,805
154,806
118,807
117,808
122,809
114,810
130,811
133,812
123,813
108,814
110,815
124,816
96,817
120,818
109,819
104,820
82,821
89,822
116,823
110,824
96,825
81,826
94,827
102,828
80,829
73,830
88,831
110,832
98,833
97,834
88,835
90,836
86,837
106,838
82,839
83,840
77,841
78,842
94,843
79,844
76,845
77,846
68,847
79,848
92,849
64,850
66,851
97,852
58,853
66,854
74,855
82,856
64,857
63,858
75,859
67,860
59,861
61,862
73,863
58,864
59,865
65,866
58,867
58,868
69,869
62,870
34,871
53,872
55,873
60,874
52,875
49,876
55,877
59,878
